setID	setName	setSource
90	Amino sugar and nucleotide sugar metabolism	KEGG
91	Aminoacyl-tRNA biosynthesis	KEGG
92	Amoebiasis	KEGG
93	Amphetamine addiction	KEGG
96	Amyotrophic lateral sclerosis (ALS)	KEGG
100	Antifolate resistance	KEGG
103	Antigen processing and presentation	KEGG
116	Apelin signaling pathway	KEGG
118	Apoptosis (KEGG)	KEGG
117	Apoptosis - multiple species	KEGG
125	Arachidonic acid metabolism (KEGG)	KEGG
131	Arginine and proline metabolism	KEGG
132	Arginine biosynthesis	KEGG
134	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG
135	Ascorbate and aldarate metabolism	KEGG
142	Asthma	KEGG
156	Autoimmune thyroid disease	KEGG
157	Autophagy - animal	KEGG
158	Autophagy - other	KEGG
161	Axon guidance (KEGG)	KEGG
163	B cell receptor signaling pathway	KEGG
165	Bacterial invasion of epithelial cells	KEGG
167	Basal cell carcinoma	KEGG
168	Basal transcription factors	KEGG
169	Base excision repair	KEGG
183	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	KEGG
185	Bile secretion	KEGG
188	Biosynthesis of amino acids	KEGG
190	Biosynthesis of unsaturated fatty acids	KEGG
192	Bladder cancer	KEGG
196	Breast cancer	KEGG
198	Butanoate metabolism	KEGG
204	C5 isoprenoid biosynthesis, mevalonate pathway	KEGG
210	Calcium signaling pathway	KEGG
218	Carbohydrate digestion and absorption	KEGG
219	Carbon metabolism	KEGG
221	Cardiac muscle contraction	KEGG
241	Cell adhesion molecules (CAMs)	KEGG
242	Cell cycle	KEGG
257	Central carbon metabolism in cancer	KEGG
259	Ceramide biosynthesis	KEGG
263	Chagas disease (American trypanosomiasis)	KEGG
265	Chemical carcinogenesis	KEGG
267	Chemokine signaling pathway	KEGG
274	Choline metabolism in cancer	KEGG
275	Cholinergic synapse	KEGG
282	Chronic myeloid leukemia	KEGG
286	Circadian entrainment	KEGG
287	Circadian rhythm	KEGG
290	Citrate cycle (TCA cycle)	KEGG
289	Citrate cycle (TCA cycle, Krebs cycle)	KEGG
291	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG
305	Cocaine addiction	KEGG
310	Collecting duct acid secretion	KEGG
311	Colorectal cancer	KEGG
313	Complement and coagulation cascades	KEGG
349	Cysteine and methionine metabolism	KEGG
352	Cytokine-cytokine receptor interaction	KEGG
353	Cytosolic DNA-sensing pathway	KEGG
425	DNA replication	KEGG
404	Dilated cardiomyopathy	KEGG
430	Dopaminergic synapse	KEGG
431	Dorso-ventral axis formation	KEGG
444	Drug metabolism - cytochrome P450	KEGG
445	Drug metabolism - other enzymes	KEGG
458	ECM-receptor interaction	KEGG
463	EGFR tyrosine kinase inhibitor resistance	KEGG
468	Endocrine and other factor-regulated calcium reabsorption	KEGG
469	Endocrine resistance	KEGG
470	Endocytosis	KEGG
472	Endometrial cancer	KEGG
490	Epithelial cell signaling in Helicobacter pylori infection	KEGG
493	Epstein-Barr virus infection	KEGG
498	ErbB signaling pathway	KEGG
508	Estrogen signaling pathway	KEGG
510	Ether lipid metabolism	KEGG
519	Fanconi anemia pathway	KEGG
522	Fat digestion and absorption	KEGG
525	Fatty acid biosynthesis	KEGG
526	Fatty acid degradation	KEGG
527	Fatty acid elongation	KEGG
528	Fatty acid metabolism	KEGG
534	Fc epsilon RI signaling pathway	KEGG
535	Fc gamma R-mediated phagocytosis	KEGG
542	Ferroptosis	KEGG
558	Fluid shear stress and atherosclerosis	KEGG
559	Focal adhesion	KEGG
560	Folate biosynthesis	KEGG
580	FoxO signaling pathway	KEGG
586	Fructose and mannose metabolism	KEGG
611	GABAergic synapse	KEGG
612	Galactose metabolism	KEGG
616	Gap junction	KEGG
623	Gastric acid secretion	KEGG
630	Glioma	KEGG
633	Glucagon signaling pathway	KEGG
639	Gluconeogenesis, oxaloacetate => fructose-6P	KEGG
642	Glucuronate pathway (uronate pathway)	KEGG
646	Glutamatergic synapse	KEGG
648	Glutathione metabolism	KEGG
651	Glycerolipid metabolism	KEGG
653	Glycerophospholipid metabolism	KEGG
654	Glycine, serine and threonine metabolism	KEGG
659	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	KEGG
660	Glycolysis / Gluconeogenesis	KEGG
661	Glycolysis, core module involving three-carbon compounds	KEGG
663	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	KEGG
664	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG
665	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG
666	Glycosaminoglycan biosynthesis, heparan sulfate backbone	KEGG
667	Glycosaminoglycan degradation	KEGG
669	Glycosphingolipid biosynthesis - ganglio series	KEGG
670	Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG
671	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG
673	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	KEGG
674	Glyoxylate and dicarboxylate metabolism	KEGG
677	GnRH signaling pathway	KEGG
684	Graft-versus-host disease	KEGG
690	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	KEGG
724	HIF-1 signaling pathway	KEGG
749	HTLV-I infection	KEGG
706	Hedgehog signaling pathway	KEGG
707	Hematopoietic cell lineage	KEGG
713	Hepatitis B	KEGG
716	Hepatitis C	KEGG
719	Herpes simplex infection	KEGG
728	Hippo signaling pathway	KEGG
729	Hippo signaling pathway -multiple species	KEGG
730	Histidine metabolism	KEGG
739	Homologous recombination	KEGG
757	Huntington's disease	KEGG
760	Hypertrophic cardiomyopathy (HCM)	KEGG
766	IL-17 signaling pathway	KEGG
786	Inflammatory bowel disease (IBD)	KEGG
787	Inflammatory mediator regulation of TRP channels	KEGG
788	Influenza A	KEGG
801	Inositol phosphate metabolism (KEGG)	KEGG
803	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	KEGG
808	Insulin resistance	KEGG
809	Insulin secretion	KEGG
810	Insulin signaling pathway	KEGG
834	Intestinal immune network for IgA production	KEGG
854	Jak-STAT signaling pathway	KEGG
873	Legionellosis	KEGG
874	Leishmaniasis	KEGG
876	Leucine degradation, leucine => acetoacetate + acetyl-CoA	KEGG
877	Leukocyte transendothelial migration	KEGG
882	Linoleic acid metabolism	KEGG
888	Long-term depression	KEGG
889	Long-term potentiation	KEGG
890	Longevity regulating pathway	KEGG
891	Longevity regulating pathway - multiple species	KEGG
897	Lysine degradation	KEGG
898	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	KEGG
899	Lysosome	KEGG
911	MAPK signaling pathway	KEGG
905	Malaria	KEGG
906	Mannose type O-glycan biosynthesis	KEGG
917	Maturity onset diabetes of the young	KEGG
918	Measles	KEGG
922	Melanogenesis	KEGG
923	Melanoma	KEGG
932	Metabolic pathways	KEGG
949	Metabolism of xenobiotics by cytochrome P450	KEGG
953	Methionine degradation	KEGG
954	Methionine salvage pathway	KEGG
959	MicroRNAs in cancer	KEGG
960	Mineral absorption	KEGG
963	Mismatch repair	KEGG
977	Mitophagy - animal	KEGG
987	Morphine addiction	KEGG
1002	Mucin type O-glycan biosynthesis	KEGG
1015	N-Glycan biosynthesis	KEGG
1016	N-glycan biosynthesis, complex type	KEGG
1017	N-glycan precursor biosynthesis	KEGG
1052	NF-kappa B signaling pathway	KEGG
1063	NOD-like receptor signaling pathway	KEGG
1021	Natural killer cell mediated cytotoxicity	KEGG
1043	Neuroactive ligand-receptor interaction	KEGG
1050	Neurotrophin signaling pathway	KEGG
1057	Nicotinate and nicotinamide metabolism	KEGG
1059	Nicotine addiction	KEGG
1062	Nitrogen metabolism	KEGG
1065	Non-alcoholic fatty liver disease (NAFLD)	KEGG
1066	Non-homologous end-joining	KEGG
1068	Non-small cell lung cancer	KEGG
1077	Notch signaling pathway (KEGG)	KEGG
1095	Nucleotide excision repair	KEGG
1099	O-glycan biosynthesis, mucin type core	KEGG
1105	Olfactory transduction	KEGG
1108	One carbon pool by folate	KEGG
1109	Oocyte meiosis	KEGG
1116	Osteoclast differentiation	KEGG
1118	Other glycan degradation	KEGG
1120	Other types of O-glycan biosynthesis	KEGG
1121	Ovarian steroidogenesis	KEGG
1123	Oxidative phosphorylation	KEGG
1126	Oxytocin signaling pathway	KEGG
1200	PI3K-Akt signaling pathway	KEGG
1238	PPAR signaling pathway	KEGG
1142	Pancreatic cancer	KEGG
1143	Pancreatic secretion	KEGG
1144	Pantothenate and CoA biosynthesis	KEGG
1146	Parkinson's disease	KEGG
1148	Pathogenic Escherichia coli infection	KEGG
1149	Pathways in cancer	KEGG
1160	Pentose and glucuronate interconversions	KEGG
1161	Pentose phosphate pathway	KEGG
1162	Pentose phosphate pathway (Pentose phosphate cycle)	KEGG
1169	Peroxisome	KEGG
1170	Pertussis	KEGG
1171	Phagosome	KEGG
1178	Phenylalanine metabolism	KEGG
1179	Phosphatidylinositol signaling system	KEGG
1184	Phospholipase D signaling pathway	KEGG
1190	Phototransduction	KEGG
1213	Platelet activation	KEGG
1221	Platinum drug resistance	KEGG
1229	Porphyrin and chlorophyll metabolism	KEGG
1249	Primary bile acid biosynthesis	KEGG
1250	Primary immunodeficiency	KEGG
1251	Prion diseases	KEGG
1259	Progesterone-mediated oocyte maturation	KEGG
1262	Prolactin signaling pathway	KEGG
1264	Propanoate metabolism	KEGG
1266	Prostate cancer	KEGG
1267	Proteasome	KEGG
1268	Protein digestion and absorption	KEGG
1269	Protein export	KEGG
1272	Protein processing in endoplasmic reticulum	KEGG
1276	Proteoglycans in cancer	KEGG
1277	Proximal tubule bicarbonate reclamation	KEGG
1281	Purine metabolism (KEGG)	KEGG
1291	Pyrimidine metabolism (KEGG)	KEGG
1293	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	KEGG
1294	Pyruvate metabolism (KEGG)	KEGG
1417	RIG-I-like receptor signaling pathway	KEGG
1422	RNA degradation	KEGG
1425	RNA polymerase	KEGG
1452	RNA transport	KEGG
1304	Rap1 signaling pathway	KEGG
1308	Ras signaling pathway	KEGG
1322	Regulation of actin cytoskeleton	KEGG
1347	Regulation of lipolysis in adipocytes	KEGG
1376	Renal cell carcinoma	KEGG
1377	Renin secretion	KEGG
1378	Renin-angiotensin system	KEGG
1395	Retinol metabolism	KEGG
1396	Retrograde endocannabinoid signaling	KEGG
1401	Rheumatoid arthritis	KEGG
1415	Ribosome	KEGG
1416	Ribosome biogenesis in eukaryotes	KEGG
1590	SNARE interactions in vesicular transport	KEGG
1470	Salivary secretion	KEGG
1472	Salmonella infection	KEGG
1479	Selenocompound metabolism	KEGG
1489	Serotonergic synapse	KEGG
1499	Shigellosis	KEGG
1576	Signaling pathways regulating pluripotency of stem cells	KEGG
1588	Small cell lung cancer	KEGG
1595	Sphingolipid metabolism (KEGG)	KEGG
1597	Sphingolipid signaling pathway	KEGG
1599	Sphingosine biosynthesis	KEGG
1600	Spliceosome	KEGG
1605	Staphylococcus aureus infection	KEGG
1606	Starch and sucrose metabolism	KEGG
1608	Steroid biosynthesis	KEGG
1609	Steroid hormone biosynthesis	KEGG
1636	Synaptic vesicle cycle	KEGG
1642	Synthesis and degradation of ketone bodies	KEGG
1667	Systemic lupus erythematosus	KEGG
1668	T cell receptor signaling pathway	KEGG
1692	TGF-beta signaling pathway	KEGG
1716	TNF signaling pathway	KEGG
1672	Taste transduction	KEGG
1675	Taurine and hypotaurine metabolism	KEGG
1686	Terpenoid backbone biosynthesis	KEGG
1693	Th1 and Th2 cell differentiation	KEGG
1694	Th17 cell differentiation	KEGG
1702	Thiamine metabolism	KEGG
1706	Thyroid cancer	KEGG
1707	Thyroid hormone signaling pathway	KEGG
1708	Thyroid hormone synthesis	KEGG
1711	Tight junction	KEGG
1730	Toll-like receptor signaling pathway	KEGG
1732	Toxoplasmosis	KEGG
1758	Transcriptional misregulation in cancer	KEGG
1789	Triacylglycerol biosynthesis	KEGG
1805	Tryptophan metabolism	KEGG
1806	Tuberculosis	KEGG
1807	Type I diabetes mellitus	KEGG
1809	Type II diabetes mellitus	KEGG
1810	Tyrosine metabolism	KEGG
1812	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG
1814	Ubiquitin mediated proteolysis	KEGG
1834	VEGF signaling pathway	KEGG
1829	Valine, leucine and isoleucine degradation	KEGG
1831	Vascular smooth muscle contraction	KEGG
1833	Vasopressin-regulated water reabsorption	KEGG
1841	Vibrio cholerae infection	KEGG
1843	Viral carcinogenesis	KEGG
1846	Viral myocarditis	KEGG
1851	Vitamin digestion and absorption	KEGG
1860	Wnt signaling pathway	KEGG
81	alpha-Linolenic acid metabolism	KEGG
176	beta-Alanine metabolism	KEGG
179	beta-Oxidation	KEGG
214	cAMP signaling pathway	KEGG
262	cGMP-PKG signaling pathway	KEGG
996	mRNA surveillance pathway	KEGG
997	mTOR signaling pathway (KEGG)	KEGG
1132	p53 signaling pathway	KEGG
76	ALK1 signaling events	PID
77	ALK2 signaling events	PID
144	ATF-2 transcription factor network	PID
82	Alpha-synuclein signaling	PID
99	Angiopoietin receptor Tie2-mediated signaling	PID
127	Arf1 pathway	PID
128	Arf6 downstream pathway	PID
129	Arf6 signaling events	PID
130	Arf6 trafficking events	PID
149	Atypical NF-kappaB pathway	PID
152	Aurora A signaling	PID
153	Aurora B signaling	PID
166	BARD1 signaling events	PID
174	BCR signaling pathway	PID
194	BMP receptor signaling	PID
201	C-MYB transcription factor network	PID
202	C-MYC pathway	PID
233	CD40/CD40L signaling	PID
235	CDC42 signaling events	PID
342	CXCR3-mediated signaling events	PID
343	CXCR4-mediated signaling events	PID
207	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	PID
209	Calcium signaling in the CD4+ TCR pathway	PID
215	Canonical NF-kappaB pathway	PID
216	Canonical Wnt signaling pathway	PID
227	Caspase cascade in apoptosis	PID
255	Cellular roles of Anthrax toxin	PID
260	Ceramide signaling pathway	PID
288	Circadian rhythm pathway	PID
297	Class I PI3K signaling events	PID
298	Class I PI3K signaling events mediated by Akt	PID
332	Coregulation of Androgen receptor activity	PID
406	Direct p53 effectors	PID
438	Downstream signaling in naive CD8+ T cells	PID
449	E-cadherin signaling in keratinocytes	PID
450	E-cadherin signaling in the nascent adherens junction	PID
452	E2F transcription factor network	PID
460	EGF receptor (ErbB1) signaling pathway	PID
482	EPHA forward signaling	PID
484	EPHA2 forward signaling	PID
485	EPHB forward signaling	PID
491	EPO signaling pathway	PID
475	Endothelins	PID
487	Ephrin B reverse signaling	PID
497	ErbB receptor signaling network	PID
499	ErbB1 downstream signaling	PID
502	ErbB2/ErbB3 signaling events	PID
503	ErbB4 signaling events	PID
521	FAS (CD95) signaling pathway	PID
544	FGF signaling pathway	PID
576	FOXA1 transcription factor network	PID
577	FOXA2 and FOXA3 transcription factor networks	PID
578	FOXM1 transcription factor network	PID
536	Fc-epsilon receptor I signaling in mast cells	PID
579	FoxO family signaling	PID
636	Glucocorticoid receptor regulatory network	PID
676	Glypican 1 network	PID
725	HIF-1-alpha transcription factor network	PID
726	HIF-2-alpha transcription factor network	PID
737	HIV-1 Nef: Negative effector of Fas and TNF-alpha	PID
705	Hedgehog signaling events mediated by Gli proteins	PID
761	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	PID
762	IFN-gamma pathway	PID
763	IGF1 pathway	PID
768	IL1-mediated signaling events	PID
769	IL12 signaling mediated by STAT4	PID
770	IL12-mediated signaling events	PID
771	IL2 signaling events mediated by PI3K	PID
772	IL2 signaling events mediated by STAT5	PID
773	IL2-mediated signaling events	PID
774	IL23-mediated signaling events	PID
775	IL27-mediated signaling events	PID
776	IL4-mediated signaling events	PID
777	IL6-mediated signaling events	PID
804	Insulin Pathway	PID
811	Insulin-mediated glucose transport	PID
815	Integrins in angiogenesis	PID
833	Internalization of ErbB1	PID
857	JNK signaling in the CD4+ TCR pathway	PID
887	LKB1 signaling events	PID
894	LPA receptor mediated events	PID
895	LPA4-mediated signaling events	PID
885	Lissencephaly gene (LIS1) in neuronal migration and development	PID
1012	N-cadherin signaling events	PID
1024	Nectin adhesion pathway	PID
1040	Nephrin/Neph1 signaling in the kidney podocyte	PID
1049	Neurotrophic factor-mediated Trk receptor signaling	PID
1069	Noncanonical Wnt signaling pathway	PID
1070	Nongenotropic Androgen signaling	PID
1078	Notch signaling pathway (PID)	PID
1080	Notch-mediated HES/HEY network	PID
1117	Osteopontin-mediated events	PID
1157	PDGFR-alpha signaling pathway	PID
1158	PDGFR-beta signaling pathway	PID
1224	PLK1 signaling events	PID
1152	Paxillin-dependent events mediated by a4b1	PID
1153	Paxillin-independent events mediated by a4b1 and a4b7	PID
1212	Plasma membrane estrogen receptor signaling	PID
1245	Presenilin action in Notch and Wnt signaling	PID
1300	RAC1 signaling pathway	PID
1461	RXR and RAR heterodimerization with other nuclear receptor	PID
1307	Ras signaling in the CD4+ TCR pathway	PID
1318	Reelin signaling pathway	PID
1325	Regulation of Androgen receptor activity	PID
1329	Regulation of CDC42 activity	PID
1356	Regulation of RAC1 activity	PID
1359	Regulation of RhoA activity	PID
1362	Regulation of Telomerase	PID
1372	Regulation of Wnt-mediated beta catenin signaling and target gene transcription	PID
1332	Regulation of cytoplasmic and nuclear SMAD2/3 signaling	PID
1351	Regulation of nuclear SMAD2/3 signaling	PID
1353	Regulation of p38-alpha and p38-beta	PID
1358	Regulation of retinoblastoma protein	PID
1392	Retinoic acid receptors-mediated signaling	PID
1413	RhoA signaling pathway	PID
1453	Role of Calcineurin-dependent NFAT signaling in lymphocytes	PID
1463	S1P1 pathway	PID
1464	S1P2 pathway	PID
1465	S1P3 pathway	PID
1466	S1P4 pathway	PID
1564	Signaling events mediated by HDAC Class I	PID
1565	Signaling events mediated by HDAC Class II	PID
1566	Signaling events mediated by HDAC Class III	PID
1567	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	PID
1568	Signaling events mediated by PRL	PID
1569	Signaling events mediated by PTP1B	PID
1570	Signaling events mediated by Stem cell factor receptor (c-Kit)	PID
1571	Signaling events mediated by TCPTP	PID
1573	Signaling events mediated by VEGFR1 and VEGFR2	PID
1563	Signaling events mediated by focal adhesion kinase	PID
1572	Signaling events mediated by the Hedgehog family	PID
1574	Signaling events regulated by Ret tyrosine kinase	PID
1575	Signaling mediated by p38-alpha and p38-beta	PID
1598	Sphingosine 1-phosphate (S1P) pathway	PID
1603	Stabilization and expansion of the E-cadherin adherens junction	PID
1616	Sumoylation by RanBP2 regulates transcriptional repression	PID
1638	Syndecan-1-mediated signaling events	PID
1639	Syndecan-2-mediated signaling events	PID
1640	Syndecan-3-mediated signaling events	PID
1641	Syndecan-4-mediated signaling events	PID
1680	TCR signaling in naive CD4+ T cells	PID
1681	TCR signaling in naive CD8+ T cells	PID
1689	TGF-beta receptor signaling	PID
1713	TNF receptor signaling pathway	PID
1752	TRAIL signaling pathway	PID
1704	Thromboxane A2 receptor signaling	PID
1795	Trk receptor signaling mediated by PI3K and PLC-gamma	PID
1796	Trk receptor signaling mediated by the MAPK pathway	PID
1836	VEGFR1 specific signals	PID
1839	VEGFR3 signaling in lymphatic endothelium	PID
1825	Validated targets of C-MYC transcriptional activation	PID
1826	Validated targets of C-MYC transcriptional repression	PID
1827	Validated transcriptional targets of AP1 family members Fra1 and Fra2	PID
1848	Visual signal transduction: Cones	PID
1849	Visual signal transduction: Rods	PID
1859	Wnt signaling network	PID
6	a6b1 and a6b4 Integrin signaling	PID
84	amb2 Integrin signaling	PID
998	mTOR signaling pathway (PID)	PID
1128	p38 MAPK signaling pathway	PID
1129	p38 signaling mediated by MAPKAP kinases	PID
1131	p53 pathway	PID
1138	p75(NTR)-mediated signaling	PID
5	A tetrasaccharide linker sequence is required for GAG synthesis	REACTOME
8	ABC transporter disorders	REACTOME
10	ABC transporters in lipid homeostasis	REACTOME
11	ABC-family proteins mediated transport	REACTOME
63	ADP signalling through P2Y purinoceptor 1	REACTOME
64	ADP signalling through P2Y purinoceptor 12	REACTOME
71	AKT phosphorylates targets in the cytosol	REACTOME
85	AMER1 mutants destabilize the destruction complex	REACTOME
108	APC truncation mutants have impaired AXIN binding	REACTOME
109	APC-Cdc20 mediated degradation of Nek2A	REACTOME
111	APC/C-mediated degradation of cell cycle proteins	REACTOME
112	APC/C:Cdc20 mediated degradation of Cyclin B	REACTOME
114	APC/C:Cdc20 mediated degradation of Securin	REACTOME
113	APC/C:Cdc20 mediated degradation of mitotic proteins	REACTOME
115	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	REACTOME
110	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	REACTOME
133	ARMS-mediated activation	REACTOME
145	ATF4 activates genes	REACTOME
146	ATF6 (ATF6-alpha) activates chaperone genes	REACTOME
147	ATF6 (ATF6-alpha) activates chaperones	REACTOME
150	AUF1 (hnRNP D0) binds and destabilizes mRNA	REACTOME
151	AURKA Activation by TPX2	REACTOME
159	AXIN missense mutants destabilize the destruction complex	REACTOME
160	AXIN mutants destabilize the destruction complex, activating WNT signaling	REACTOME
7	Abacavir transport and metabolism	REACTOME
12	Abortive elongation of HIV-1 transcript in the absence of Tat	REACTOME
13	Acetylcholine Binding And Downstream Events	REACTOME
14	Acetylcholine Neurotransmitter Release Cycle	REACTOME
15	Acetylcholine regulates insulin secretion	REACTOME
16	Activated NOTCH1 Transmits Signal to the Nucleus	REACTOME
17	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	REACTOME
20	Activated TLR4 signalling	REACTOME
18	Activated point mutants of FGFR2	REACTOME
22	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	REACTOME
23	Activation of ATR in response to replication stress	REACTOME
24	Activation of BAD and translocation to mitochondria	REACTOME
25	Activation of BH3-only proteins	REACTOME
26	Activation of Ca-permeable Kainate Receptor	REACTOME
27	Activation of DNA fragmentation factor	REACTOME
28	Activation of G protein gated Potassium channels	REACTOME
29	Activation of GABAB receptors	REACTOME
31	Activation of HOX genes during differentiation	REACTOME
