setID	setName	setSource	setID.orig	setSizeOrg	setID.new
329	Primary immunodeficiency	KEGG	1250	32	329
330	Prion diseases	KEGG	1251	34	330
331	Progesterone-mediated oocyte maturation	KEGG	1259	86	331
332	Prolactin signaling pathway	KEGG	1262	70	332
333	Propanoate metabolism	KEGG	1264	32	333
334	Prostate cancer	KEGG	1266	83	334
335	Proteasome	KEGG	1267	44	335
336	Protein digestion and absorption	KEGG	1268	84	336
337	Protein export	KEGG	1269	22	337
338	Protein processing in endoplasmic reticulum	KEGG	1272	155	338
339	Proteoglycans in cancer	KEGG	1276	197	339
340	Proximal tubule bicarbonate reclamation	KEGG	1277	20	340
341	Purine metabolism (KEGG)	KEGG	1281	162	341
342	Pyrimidine metabolism (KEGG)	KEGG	1291	100	342
343	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	KEGG	1293	11	343
344	Pyruvate metabolism (KEGG)	KEGG	1294	38	344
345	RIG-I-like receptor signaling pathway	KEGG	1417	65	345
346	RNA degradation	KEGG	1422	69	346
347	RNA polymerase	KEGG	1425	30	347
348	RNA transport	KEGG	1452	154	348
349	Rap1 signaling pathway	KEGG	1304	204	349
350	Ras signaling pathway	KEGG	1308	217	350
351	Regulation of actin cytoskeleton	KEGG	1322	199	351
352	Regulation of lipolysis in adipocytes	KEGG	1347	53	352
353	Renal cell carcinoma	KEGG	1376	59	353
354	Renin secretion	KEGG	1377	62	354
355	Renin-angiotensin system	KEGG	1378	20	355
356	Retinol metabolism	KEGG	1395	59	356
357	Retrograde endocannabinoid signaling	KEGG	1396	95	357
358	Rheumatoid arthritis	KEGG	1401	85	358
359	Ribosome	KEGG	1415	144	359
360	Ribosome biogenesis in eukaryotes	KEGG	1416	85	360
361	SNARE interactions in vesicular transport	KEGG	1590	32	361
362	Salivary secretion	KEGG	1470	86	362
363	Salmonella infection	KEGG	1472	82	363
364	Selenocompound metabolism	KEGG	1479	15	364
365	Serotonergic synapse	KEGG	1489	107	365
366	Shigellosis	KEGG	1499	61	366
367	Signaling pathways regulating pluripotency of stem cells	KEGG	1576	136	367
368	Small cell lung cancer	KEGG	1588	80	368
369	Sphingolipid metabolism (KEGG)	KEGG	1595	43	369
370	Sphingolipid signaling pathway	KEGG	1597	117	370
371	Sphingosine biosynthesis	KEGG	1599	16	371
372	Spliceosome	KEGG	1600	125	372
373	Staphylococcus aureus infection	KEGG	1605	53	373
374	Starch and sucrose metabolism	KEGG	1606	33	374
375	Steroid biosynthesis	KEGG	1608	18	375
376	Steroid hormone biosynthesis	KEGG	1609	55	376
377	Synaptic vesicle cycle	KEGG	1636	63	377
378	Synthesis and degradation of ketone bodies	KEGG	1642	10	378
379	Systemic lupus erythematosus	KEGG	1667	124	379
380	T cell receptor signaling pathway	KEGG	1668	97	380
381	TGF-beta signaling pathway	KEGG	1692	84	381
382	TNF signaling pathway	KEGG	1716	105	382
383	Taste transduction	KEGG	1672	79	383
384	Taurine and hypotaurine metabolism	KEGG	1675	11	384
385	Terpenoid backbone biosynthesis	KEGG	1686	22	385
386	Th1 and Th2 cell differentiation	KEGG	1693	88	386
387	Th17 cell differentiation	KEGG	1694	102	387
388	Thiamine metabolism	KEGG	1702	14	388
389	Thyroid cancer	KEGG	1706	29	389
390	Thyroid hormone signaling pathway	KEGG	1707	112	390
391	Thyroid hormone synthesis	KEGG	1708	72	391
392	Tight junction	KEGG	1711	162	392
393	Toll-like receptor signaling pathway	KEGG	1730	99	393
394	Toxoplasmosis	KEGG	1732	107	394
395	Transcriptional misregulation in cancer	KEGG	1758	169	395
396	Triacylglycerol biosynthesis	KEGG	1789	12	396
397	Tryptophan metabolism	KEGG	1805	35	397
398	Tuberculosis	KEGG	1806	173	398
399	Type I diabetes mellitus	KEGG	1807	41	399
400	Type II diabetes mellitus	KEGG	1809	45	400
401	Tyrosine metabolism	KEGG	1810	32	401
402	Ubiquinone and other terpenoid-quinone biosynthesis	KEGG	1812	11	402
403	Ubiquitin mediated proteolysis	KEGG	1814	125	403
404	VEGF signaling pathway	KEGG	1834	59	404
405	Valine, leucine and isoleucine degradation	KEGG	1829	47	405
406	Vascular smooth muscle contraction	KEGG	1831	117	406
407	Vasopressin-regulated water reabsorption	KEGG	1833	43	407
408	Vibrio cholerae infection	KEGG	1841	49	408
409	Viral carcinogenesis	KEGG	1843	194	409
410	Viral myocarditis	KEGG	1846	54	410
411	Vitamin digestion and absorption	KEGG	1851	23	411
412	Wnt signaling pathway	KEGG	1860	138	412
413	alpha-Linolenic acid metabolism	KEGG	81	25	413
414	beta-Alanine metabolism	KEGG	176	30	414
415	beta-Oxidation	KEGG	179	12	415
416	cAMP signaling pathway	KEGG	214	191	416
417	cGMP-PKG signaling pathway	KEGG	262	154	417
418	mRNA surveillance pathway	KEGG	996	78	418
419	mTOR signaling pathway (KEGG)	KEGG	997	147	419
420	p53 signaling pathway	KEGG	1132	65	420
421	ALK1 signaling events	PID	76	24	421
422	ALK2 signaling events	PID	77	11	422
423	ATF-2 transcription factor network	PID	144	54	423
424	Alpha-synuclein signaling	PID	82	30	424
425	Angiopoietin receptor Tie2-mediated signaling	PID	99	46	425
426	Arf1 pathway	PID	127	18	426
427	Arf6 downstream pathway	PID	128	15	427
428	Arf6 signaling events	PID	129	34	428
429	Arf6 trafficking events	PID	130	43	429
430	Atypical NF-kappaB pathway	PID	149	14	430
431	Aurora A signaling	PID	152	31	431
432	Aurora B signaling	PID	153	37	432
433	BARD1 signaling events	PID	166	28	433
434	BCR signaling pathway	PID	174	63	434
435	BMP receptor signaling	PID	194	33	435
436	C-MYB transcription factor network	PID	201	77	436
437	C-MYC pathway	PID	202	22	437
438	CD40/CD40L signaling	PID	233	28	438
439	CDC42 signaling events	PID	235	69	439
440	CXCR3-mediated signaling events	PID	342	33	440
441	CXCR4-mediated signaling events	PID	343	73	441
442	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	PID	207	44	442
443	Calcium signaling in the CD4+ TCR pathway	PID	209	27	443
444	Canonical NF-kappaB pathway	PID	215	22	444
445	Canonical Wnt signaling pathway	PID	216	29	445
446	Caspase cascade in apoptosis	PID	227	48	446
447	Cellular roles of Anthrax toxin	PID	255	22	447
448	Ceramide signaling pathway	PID	260	43	448
449	Circadian rhythm pathway	PID	288	12	449
450	Class I PI3K signaling events	PID	297	39	450
451	Class I PI3K signaling events mediated by Akt	PID	298	33	451
452	Coregulation of Androgen receptor activity	PID	332	54	452
453	Direct p53 effectors	PID	406	128	453
454	Downstream signaling in naive CD8+ T cells	PID	438	48	454
455	E-cadherin signaling in keratinocytes	PID	449	19	455
456	E-cadherin signaling in the nascent adherens junction	PID	450	33	456
457	E2F transcription factor network	PID	452	69	457
458	EGF receptor (ErbB1) signaling pathway	PID	460	25	458
459	EPHA forward signaling	PID	482	31	459
460	EPHA2 forward signaling	PID	484	17	460
461	EPHB forward signaling	PID	485	32	461
462	EPO signaling pathway	PID	491	32	462
463	Endothelins	PID	475	52	463
464	Ephrin B reverse signaling	PID	487	26	464
465	ErbB receptor signaling network	PID	497	13	465
466	ErbB1 downstream signaling	PID	499	100	466
467	ErbB2/ErbB3 signaling events	PID	502	35	467
468	ErbB4 signaling events	PID	503	32	468
469	FAS (CD95) signaling pathway	PID	521	33	469
470	FGF signaling pathway	PID	544	47	470
471	FOXA1 transcription factor network	PID	576	41	471
472	FOXA2 and FOXA3 transcription factor networks	PID	577	44	472
473	FOXM1 transcription factor network	PID	578	37	473
474	Fc-epsilon receptor I signaling in mast cells	PID	536	55	474
475	FoxO family signaling	PID	579	46	475
476	Glucocorticoid receptor regulatory network	PID	636	80	476
477	Glypican 1 network	PID	676	26	477
478	HIF-1-alpha transcription factor network	PID	725	64	478
479	HIF-2-alpha transcription factor network	PID	726	30	479
480	HIV-1 Nef: Negative effector of Fas and TNF-alpha	PID	737	34	480
481	Hedgehog signaling events mediated by Gli proteins	PID	705	42	481
482	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	PID	761	11	482
483	IFN-gamma pathway	PID	762	40	483
484	IGF1 pathway	PID	763	27	484
485	IL1-mediated signaling events	PID	768	33	485
486	IL12 signaling mediated by STAT4	PID	769	28	486
487	IL12-mediated signaling events	PID	770	60	487
488	IL2 signaling events mediated by PI3K	PID	771	36	488
489	IL2 signaling events mediated by STAT5	PID	772	28	489
490	IL2-mediated signaling events	PID	773	51	490
491	IL23-mediated signaling events	PID	774	37	491
492	IL27-mediated signaling events	PID	775	26	492
493	IL4-mediated signaling events	PID	776	56	493
494	IL6-mediated signaling events	PID	777	42	494
495	Insulin Pathway	PID	804	43	495
496	Insulin-mediated glucose transport	PID	811	29	496
497	Integrins in angiogenesis	PID	815	45	497
498	Internalization of ErbB1	PID	833	33	498
499	JNK signaling in the CD4+ TCR pathway	PID	857	13	499
500	LKB1 signaling events	PID	887	41	500
501	LPA receptor mediated events	PID	894	63	501
502	LPA4-mediated signaling events	PID	895	14	502
503	Lissencephaly gene (LIS1) in neuronal migration and development	PID	885	30	503
504	N-cadherin signaling events	PID	1012	33	504
